Question,OptionA,OptionB,OptionC,OptionD,Correct,Description
Given Employed equals 49535 Unemployed equals 4212 Adult population equals 64030 what are the unemployment rate and the labour force participation rate,83.9 percent and 7.8 percent,92.2 percent and 83.9 percent,7.8 percent and 83.9 percent,7.8 percent and 16.099999999999994 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If money supply grows 10 percent and real GDP grows 0 percent what is the predicted inflation rate in the quantity theory,15 percent,12 percent,10 percent,8 percent,C,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
Given Employed equals 36226 Unemployed equals 3702 Adult population equals 48680 what are the unemployment rate and the labour force participation rate,90.7 percent and 82.0 percent,82.0 percent and 9.3 percent,9.3 percent and 82.0 percent,9.3 percent and 18.0 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 13891 Unemployed equals 3242 Adult population equals 26621 what are the unemployment rate and the labour force participation rate,18.9 percent and 35.599999999999994 percent,18.9 percent and 64.4 percent,81.1 percent and 64.4 percent,64.4 percent and 18.9 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If money supply grows 5 percent and real GDP grows 5 percent what is the predicted inflation rate in the quantity theory,2 percent,0 percent,0 percent,5 percent,C,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
Expected inflation is 1 percent and the real interest rate is 1 percent what nominal rate is consistent with the Fisher equation,2 percent,3 percent,1 percent,4 percent,A,The Fisher relationship says nominal equals real plus expected inflation so add the two numbers to obtain the nominal rate.
Given Employed equals 5881 Unemployed equals 3095 Adult population equals 28007 what are the unemployment rate and the labour force participation rate,65.5 percent and 32.0 percent,32.0 percent and 34.5 percent,34.5 percent and 68.0 percent,34.5 percent and 32.0 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 38111 Unemployed equals 5429 Adult population equals 60948 what are the unemployment rate and the labour force participation rate,87.5 percent and 71.4 percent,71.4 percent and 12.5 percent,12.5 percent and 71.4 percent,12.5 percent and 28.599999999999994 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 115 to 123 what is the inflation rate for the period,2.0 percent,12.0 percent,17.0 percent,7.0 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 10551 Unemployed equals 5497 Adult population equals 21666 what are the unemployment rate and the labour force participation rate,34.3 percent and 25.900000000000006 percent,65.7 percent and 74.1 percent,74.1 percent and 34.3 percent,34.3 percent and 74.1 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 114 to 139 what is the inflation rate for the period,16.9 percent,21.9 percent,26.9 percent,31.9 percent,B,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 41961 Unemployed equals 3071 Adult population equals 57944 what are the unemployment rate and the labour force participation rate,77.7 percent and 6.8 percent,93.2 percent and 77.7 percent,6.8 percent and 22.299999999999997 percent,6.8 percent and 77.7 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 33016 Unemployed equals 301 Adult population equals 49623 what are the unemployment rate and the labour force participation rate,67.1 percent and 0.9 percent,0.9 percent and 67.1 percent,0.9 percent and 32.900000000000006 percent,99.1 percent and 67.1 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If money supply grows 8 percent and real GDP grows 0 percent what is the predicted inflation rate in the quantity theory,6 percent,8 percent,13 percent,10 percent,B,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
Given Employed equals 40095 Unemployed equals 2724 Adult population equals 58681 what are the unemployment rate and the labour force participation rate,73.0 percent and 6.4 percent,93.6 percent and 73.0 percent,6.4 percent and 73.0 percent,6.4 percent and 27.0 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If money supply grows 3 percent and real GDP grows 3 percent what is the predicted inflation rate in the quantity theory,0 percent,0 percent,5 percent,2 percent,B,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
Given Employed equals 18721 Unemployed equals 2575 Adult population equals 26305 what are the unemployment rate and the labour force participation rate,12.1 percent and 81.0 percent,81.0 percent and 12.1 percent,87.9 percent and 81.0 percent,12.1 percent and 19.0 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If money supply grows 7 percent and real GDP grows 3 percent what is the predicted inflation rate in the quantity theory,9 percent,2 percent,4 percent,6 percent,C,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
Given Employed equals 15337 Unemployed equals 3884 Adult population equals 32315 what are the unemployment rate and the labour force participation rate,20.2 percent and 59.5 percent,79.8 percent and 59.5 percent,20.2 percent and 40.5 percent,59.5 percent and 20.2 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If inflation expectations fall the short run Phillips curve shifts down which allows lower inflation at any given unemployment rate,False,It shifts up,It rotates vertical,True,D,Lower expected inflation reduces the inflation pressure built into price and wage setting.
If CPI rises from 106 to 136 what is the inflation rate for the period,33.3 percent,28.3 percent,38.3 percent,23.3 percent,B,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 28236 Unemployed equals 4264 Adult population equals 49996 what are the unemployment rate and the labour force participation rate,65.0 percent and 13.1 percent,13.1 percent and 65.0 percent,13.1 percent and 35.0 percent,86.9 percent and 65.0 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 25303 Unemployed equals 2018 Adult population equals 40967 what are the unemployment rate and the labour force participation rate,7.4 percent and 66.7 percent,7.4 percent and 33.3 percent,92.6 percent and 66.7 percent,66.7 percent and 7.4 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 15783 Unemployed equals 1963 Adult population equals 30547 what are the unemployment rate and the labour force participation rate,58.1 percent and 11.1 percent,88.9 percent and 58.1 percent,11.1 percent and 41.9 percent,11.1 percent and 58.1 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Expected inflation is 1 percent and the real interest rate is 3 percent what nominal rate is consistent with the Fisher equation,5 percent,6 percent,3 percent,4 percent,D,The Fisher relationship says nominal equals real plus expected inflation so add the two numbers to obtain the nominal rate.
Given Employed equals 24296 Unemployed equals 553 Adult population equals 41621 what are the unemployment rate and the labour force participation rate,2.2 percent and 40.3 percent,97.8 percent and 59.7 percent,59.7 percent and 2.2 percent,2.2 percent and 59.7 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Expected inflation is 2 percent and the real interest rate is 2 percent what nominal rate is consistent with the Fisher equation,3 percent,4 percent,5 percent,6 percent,B,The Fisher relationship says nominal equals real plus expected inflation so add the two numbers to obtain the nominal rate.
If CPI rises from 117 to 125 what is the inflation rate for the period,1.7999999999999998 percent,6.8 percent,16.8 percent,11.8 percent,B,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 92 to 100 what is the inflation rate for the period,8.7 percent,18.7 percent,3.6999999999999993 percent,13.7 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 100 to 105 what is the inflation rate for the period,10.0 percent,15.0 percent,0.0 percent,5.0 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 120 to 138 what is the inflation rate for the period,25.0 percent,15.0 percent,20.0 percent,10.0 percent,B,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
A country that runs a persistent trade deficit must finance the gap by,Increasing public savings immediately,A net capital inflow from the rest of the world,Reducing imports to zero,Selling no assets to foreigners,B,Negative net exports imply that spending exceeds production so borrowing or asset sales to foreigners finance the difference.
Unexpected inflation redistributes wealth from lenders to borrowers because debts are repaid in money with lower real value,True,It redistributes from borrowers to lenders,There is no redistribution,False,A,When actual inflation exceeds expectations the real burden of fixed nominal debt falls which benefits borrowers.
If money supply grows 5 percent and real GDP grows 3 percent what is the predicted inflation rate in the quantity theory,7 percent,0 percent,4 percent,2 percent,D,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
If CPI rises from 102 to 120 what is the inflation rate for the period,12.600000000000001 percent,27.6 percent,22.6 percent,17.6 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 47922 Unemployed equals 3563 Adult population equals 62340 what are the unemployment rate and the labour force participation rate,93.1 percent and 82.6 percent,6.9 percent and 17.400000000000006 percent,6.9 percent and 82.6 percent,82.6 percent and 6.9 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 19452 Unemployed equals 3403 Adult population equals 28198 what are the unemployment rate and the labour force participation rate,81.1 percent and 14.9 percent,14.9 percent and 81.1 percent,14.9 percent and 18.900000000000006 percent,85.1 percent and 81.1 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Higher domestic saving can raise investment and the capital stock which increases potential output over the long run,Saving lowers capital formation,True,Saving only reduces consumption without benefits,False,B,More saving provides resources for capital accumulation which raises productive capacity.
If CPI rises from 101 to 113 what is the inflation rate for the period,11.9 percent,21.9 percent,16.9 percent,6.9 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 90 to 108 what is the inflation rate for the period,20.0 percent,30.0 percent,15.0 percent,25.0 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 101 to 131 what is the inflation rate for the period,39.7 percent,24.7 percent,34.7 percent,29.7 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 111 to 116 what is the inflation rate for the period,9.5 percent,4.5 percent,14.5 percent,0 percent,B,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 24720 Unemployed equals 3737 Adult population equals 43800 what are the unemployment rate and the labour force participation rate,13.1 percent and 35.0 percent,13.1 percent and 65.0 percent,65.0 percent and 13.1 percent,86.9 percent and 65.0 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 91 to 103 what is the inflation rate for the period,13.2 percent,23.2 percent,18.2 percent,8.2 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 94 to 109 what is the inflation rate for the period,16.0 percent,11.0 percent,21.0 percent,26.0 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 43006 Unemployed equals 1161 Adult population equals 47248 what are the unemployment rate and the labour force participation rate,97.4 percent and 93.5 percent,2.6 percent and 6.5 percent,93.5 percent and 2.6 percent,2.6 percent and 93.5 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 10589 Unemployed equals 4055 Adult population equals 22261 what are the unemployment rate and the labour force participation rate,65.8 percent and 27.7 percent,72.3 percent and 65.8 percent,27.7 percent and 65.8 percent,27.7 percent and 34.2 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 10824 Unemployed equals 2588 Adult population equals 19237 what are the unemployment rate and the labour force participation rate,19.3 percent and 30.299999999999997 percent,69.7 percent and 19.3 percent,80.7 percent and 69.7 percent,19.3 percent and 69.7 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 116 to 124 what is the inflation rate for the period,6.9 percent,16.9 percent,1.9000000000000004 percent,11.9 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 27206 Unemployed equals 519 Adult population equals 33967 what are the unemployment rate and the labour force participation rate,1.9 percent and 81.6 percent,98.1 percent and 81.6 percent,1.9 percent and 18.400000000000006 percent,81.6 percent and 1.9 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 14888 Unemployed equals 2484 Adult population equals 33075 what are the unemployment rate and the labour force participation rate,85.7 percent and 52.5 percent,52.5 percent and 14.3 percent,14.3 percent and 47.5 percent,14.3 percent and 52.5 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 31415 Unemployed equals 3304 Adult population equals 47449 what are the unemployment rate and the labour force participation rate,90.5 percent and 73.2 percent,9.5 percent and 26.799999999999997 percent,9.5 percent and 73.2 percent,73.2 percent and 9.5 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 117 to 127 what is the inflation rate for the period,13.5 percent,8.5 percent,18.5 percent,3.5 percent,B,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
An imported capital good used by a domestic firm affects GDP accounting as follows,Only net exports fall with no other effect,Investment rises and net exports fall by the same amount,Only investment rises with no trade effect,Consumption rises and NX is unchanged,B,The purchase counts as investment but because it is imported it reduces net exports by the same amount leaving GDP unchanged.
If CPI rises from 96 to 101 what is the inflation rate for the period,10.2 percent,5.2 percent,0.20000000000000018 percent,15.2 percent,B,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 43221 Unemployed equals 3858 Adult population equals 60968 what are the unemployment rate and the labour force participation rate,8.2 percent and 77.2 percent,77.2 percent and 8.2 percent,91.8 percent and 77.2 percent,8.2 percent and 22.799999999999997 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 95 to 103 what is the inflation rate for the period,18.4 percent,8.4 percent,13.4 percent,3.4000000000000004 percent,B,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 93 to 108 what is the inflation rate for the period,26.1 percent,16.1 percent,11.100000000000001 percent,21.1 percent,B,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Substitution bias in the CPI means that a fixed basket index can overstate the rise in the cost of living when relative prices change,It only affects producer indexes,False,It always understates the rise,True,D,Households substitute toward relatively cheaper goods the fixed basket misses part of that shift making measured inflation too high.
Expected inflation is 6 percent and the real interest rate is 4 percent what nominal rate is consistent with the Fisher equation,9 percent,11 percent,12 percent,10 percent,D,The Fisher relationship says nominal equals real plus expected inflation so add the two numbers to obtain the nominal rate.
If CPI rises from 99 to 119 what is the inflation rate for the period,15.2 percent,25.2 percent,20.2 percent,30.2 percent,C,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 22442 Unemployed equals 3198 Adult population equals 35984 what are the unemployment rate and the labour force participation rate,71.3 percent and 12.5 percent,12.5 percent and 28.700000000000003 percent,87.5 percent and 71.3 percent,12.5 percent and 71.3 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 93 to 118 what is the inflation rate for the period,26.9 percent,31.9 percent,21.9 percent,36.9 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Expected inflation is 1 percent and the real interest rate is 0 percent what nominal rate is consistent with the Fisher equation,2 percent,3 percent,1 percent,0 percent,C,The Fisher relationship says nominal equals real plus expected inflation so add the two numbers to obtain the nominal rate.
Given Employed equals 21379 Unemployed equals 4962 Adult population equals 28527 what are the unemployment rate and the labour force participation rate,18.8 percent and 7.700000000000003 percent,81.2 percent and 92.3 percent,18.8 percent and 92.3 percent,92.3 percent and 18.8 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 110 to 135 what is the inflation rate for the period,22.7 percent,27.7 percent,17.7 percent,32.7 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 20109 Unemployed equals 466 Adult population equals 36349 what are the unemployment rate and the labour force participation rate,2.3 percent and 56.6 percent,97.7 percent and 56.6 percent,56.6 percent and 2.3 percent,2.3 percent and 43.4 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 40838 Unemployed equals 2116 Adult population equals 43224 what are the unemployment rate and the labour force participation rate,4.9 percent and 99.4 percent,95.1 percent and 99.4 percent,4.9 percent and 0.5999999999999943 percent,99.4 percent and 4.9 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 25258 Unemployed equals 2867 Adult population equals 29638 what are the unemployment rate and the labour force participation rate,10.2 percent and 94.9 percent,10.2 percent and 5.099999999999994 percent,89.8 percent and 94.9 percent,94.9 percent and 10.2 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 97 to 112 what is the inflation rate for the period,20.5 percent,25.5 percent,15.5 percent,10.5 percent,C,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If money supply grows 15 percent and real GDP grows 3 percent what is the predicted inflation rate in the quantity theory,12 percent,14 percent,17 percent,10 percent,A,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
Expected inflation is 2 percent and the real interest rate is 3 percent what nominal rate is consistent with the Fisher equation,7 percent,5 percent,4 percent,6 percent,B,The Fisher relationship says nominal equals real plus expected inflation so add the two numbers to obtain the nominal rate.
Given Employed equals 26133 Unemployed equals 5952 Adult population equals 44028 what are the unemployment rate and the labour force participation rate,81.4 percent and 72.9 percent,18.6 percent and 72.9 percent,72.9 percent and 18.6 percent,18.6 percent and 27.099999999999994 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If money supply grows 9 percent and real GDP grows 3 percent what is the predicted inflation rate in the quantity theory,11 percent,4 percent,8 percent,6 percent,D,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
Given Employed equals 28076 Unemployed equals 4219 Adult population equals 36894 what are the unemployment rate and the labour force participation rate,13.1 percent and 87.5 percent,87.5 percent and 13.1 percent,13.1 percent and 12.5 percent,86.9 percent and 87.5 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 47933 Unemployed equals 563 Adult population equals 57051 what are the unemployment rate and the labour force participation rate,1.2 percent and 85.0 percent,98.8 percent and 85.0 percent,85.0 percent and 1.2 percent,1.2 percent and 15.0 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 110 to 125 what is the inflation rate for the period,23.6 percent,18.6 percent,13.6 percent,8.6 percent,C,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If money supply grows 9 percent and real GDP grows 5 percent what is the predicted inflation rate in the quantity theory,9 percent,4 percent,6 percent,2 percent,B,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
If money supply grows 6 percent and real GDP grows 3 percent what is the predicted inflation rate in the quantity theory,8 percent,5 percent,3 percent,1 percent,C,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
Given Employed equals 19366 Unemployed equals 1199 Adult population equals 30540 what are the unemployment rate and the labour force participation rate,94.2 percent and 67.3 percent,67.3 percent and 5.8 percent,5.8 percent and 67.3 percent,5.8 percent and 32.7 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 99 to 114 what is the inflation rate for the period,10.2 percent,15.2 percent,25.2 percent,20.2 percent,B,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 110 to 118 what is the inflation rate for the period,7.3 percent,12.3 percent,17.3 percent,2.3 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 28129 Unemployed equals 1000 Adult population equals 46214 what are the unemployment rate and the labour force participation rate,63.0 percent and 3.4 percent,3.4 percent and 37.0 percent,3.4 percent and 63.0 percent,96.6 percent and 63.0 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 114 to 119 what is the inflation rate for the period,4.4 percent,0 percent,9.4 percent,14.4 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 108 to 123 what is the inflation rate for the period,8.9 percent,23.9 percent,18.9 percent,13.9 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 108 to 113 what is the inflation rate for the period,0 percent,9.6 percent,14.6 percent,4.6 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 97 to 122 what is the inflation rate for the period,30.8 percent,25.8 percent,20.8 percent,35.8 percent,B,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 92 to 112 what is the inflation rate for the period,16.7 percent,31.7 percent,26.7 percent,21.7 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 27320 Unemployed equals 4862 Adult population equals 41770 what are the unemployment rate and the labour force participation rate,15.1 percent and 23.0 percent,77.0 percent and 15.1 percent,84.9 percent and 77.0 percent,15.1 percent and 77.0 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 49591 Unemployed equals 3584 Adult population equals 61869 what are the unemployment rate and the labour force participation rate,85.9 percent and 6.7 percent,93.3 percent and 85.9 percent,6.7 percent and 85.9 percent,6.7 percent and 14.099999999999994 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 98 to 110 what is the inflation rate for the period,7.199999999999999 percent,22.2 percent,17.2 percent,12.2 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 15721 Unemployed equals 1422 Adult population equals 24295 what are the unemployment rate and the labour force participation rate,8.3 percent and 29.400000000000006 percent,91.7 percent and 70.6 percent,8.3 percent and 70.6 percent,70.6 percent and 8.3 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If money supply grows 5 percent and real GDP grows 2 percent what is the predicted inflation rate in the quantity theory,8 percent,1 percent,3 percent,5 percent,C,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
If money supply grows 12 percent and real GDP grows 2 percent what is the predicted inflation rate in the quantity theory,8 percent,12 percent,10 percent,15 percent,C,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
Expected inflation is 5 percent and the real interest rate is 4 percent what nominal rate is consistent with the Fisher equation,11 percent,8 percent,9 percent,10 percent,C,The Fisher relationship says nominal equals real plus expected inflation so add the two numbers to obtain the nominal rate.
Given Employed equals 29022 Unemployed equals 2497 Adult population equals 43259 what are the unemployment rate and the labour force participation rate,7.9 percent and 27.099999999999994 percent,7.9 percent and 72.9 percent,72.9 percent and 7.9 percent,92.1 percent and 72.9 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
